,mAR,recall@5,mAP,precision@5,f1
dominguesm/legal-bert-ner-base-cased-ptbr/summarized_text_O_TEMPO_LOCAL_emb_if_similarity,0.7544866666666666,0.47200000000000003,0.07397495049146531,0.124,0.1347391663227388
dominguesm/legal-bert-ner-base-cased-ptbr/full_text_emb_if_similarity,0.7866733333333333,0.6216666666666666,0.0869250613987027,0.188,0.1565516333662614
dominguesm/legal-bert-ner-base-cased-ptbr/summarized_text_LEG_JURIS_emb_hs_similarity,0.7407866666666668,0.5323333333333333,0.08842336336276331,0.15600000000000003,0.1579885583357743
dominguesm/legal-bert-ner-base-cased-ptbr/summarized_text_O_emb_if_similarity,0.7519533333333334,0.4803333333333334,0.06865842559922847,0.10800000000000001,0.12582791174700023
dominguesm/legal-bert-ner-base-cased-ptbr/full_text_emb_hs_similarity,0.7625399999999999,0.5413333333333334,0.08296797365150717,0.156,0.14965299110070077
dominguesm/legal-bert-ner-base-cased-ptbr/summarized_text_O_TEMPO_LOCAL_emb_hs_similarity,0.7748266666666666,0.49,0.07632252722427167,0.124,0.13895737618083392
dominguesm/legal-bert-ner-base-cased-ptbr/summarized_text_LEG_JURIS_emb_if_similarity,0.7783533333333333,0.49133333333333334,0.07993209973899347,0.15200000000000002,0.14497605079809203
dominguesm/legal-bert-ner-base-cased-ptbr/summarized_text_O_emb_hs_similarity,0.7733333333333333,0.474,0.07300374583463994,0.11200000000000002,0.13341310809074602
dominguesm/legal-bert-ner-base-cased-ptbr/text-embedding-ada-002/full_text_emb_ada_similarity,0.90584,0.819,0.11964272599687126,0.312,0.21136809849556942
dominguesm/legal-bert-ner-base-cased-ptbr/text-embedding-ada-002/summarized_text_O_emb_ada_similarity,0.7980799999999999,0.5473333333333333,0.08382575425477004,0.15600000000000003,0.15171611622418446
dominguesm/legal-bert-ner-base-cased-ptbr/text-embedding-ada-002/summarized_text_O_TEMPO_LOCAL_emb_ada_similarity,0.7950866666666667,0.612,0.08883757819506519,0.20800000000000002,0.15981816164099585
dominguesm/legal-bert-ner-base-cased-ptbr/text-embedding-ada-002/summarized_text_LEG_JURIS_emb_ada_similarity,0.7356866666666665,0.6103333333333333,0.1107391123522503,0.23600000000000002,0.1925019073272619
lisaterumi/postagger-portuguese/full_text_emb_if_similarity,0.7594333333333334,0.5246666666666667,0.07921768909200634,0.14400000000000002,0.14346981539979406
lisaterumi/postagger-portuguese/summarized_text_N_emb_hs_similarity,0.7683133333333333,0.5623333333333334,0.08677726554959729,0.192,0.15594167504370124
lisaterumi/postagger-portuguese/summarized_text_N_V_emb_if_similarity,0.7272333333333333,0.5193333333333333,0.07561594687677836,0.156,0.13698819555761294
lisaterumi/postagger-portuguese/full_text_emb_hs_similarity,0.7586200000000001,0.552,0.08400849623807843,0.188,0.1512660103489414
lisaterumi/postagger-portuguese/summarized_text_N_emb_if_similarity,0.7532466666666666,0.602,0.08739387973715307,0.204,0.1566166392536951
lisaterumi/postagger-portuguese/summarized_text_N_V_emb_hs_similarity,0.7541400000000001,0.57,0.08055198661406347,0.17600000000000002,0.14555662725732538
lisaterumi/postagger-portuguese/text-embedding-ada-002/summarized_text_N_V_emb_ada_similarity,0.8841266666666666,0.7733333333333334,0.11293975904532391,0.284,0.20029368179271534
lisaterumi/postagger-portuguese/text-embedding-ada-002/full_text_emb_ada_similarity,0.9054399999999998,0.819,0.11969521667609645,0.312,0.21143910622562817
lisaterumi/postagger-portuguese/text-embedding-ada-002/summarized_text_N_emb_ada_similarity,0.8752266666666668,0.7566666666666666,0.11214557467269547,0.27599999999999997,0.19881619797019526
